Bolag;Koncept;Kommentar;Butiks nr;Namn;Butik / Enhet;Företag;Enhet;Organisationsnummer;Franchise;Gatuadress;Postnr;Postadress;Email-adress Butiks-/SM-chef;Butikschef (BC);Telefon butik;BC Telefon;Mobil;Direktör Försäljning;Försäljningschef;Marknadsområde;Distriktschef (DC);Distrikt;K Ställe;Namn2;Gamla butiksnummer;Säljplan;Säk, kval & Arbetsmiljö samordnare;Kommun;HR Generalist;Bemanningsspecialist;Site-ID
Coop Östra;Coop;;15300;Vaxholm;Coop Vaxholm;5003;38;559198-3555;x;Hamngatan 11;185 31;Vaxholm;Vaxholm.bc@coop.se;Jennica Rainsson;010-741 70 50;010-741 70 51;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;015300;Vaxholm;;Coop Närhandel  ;Michael Sandelin;Vaxholm;Jenny Halldin;Anna Rydmark;1011
Coop Östra;Coop;;26820;Veckovägen;Coop Veckovägen;5003;19;556754-8093;x;Veckovägen 1;177 62;Järfälla;Veckovagen.bc@coop.se;Christer Wermasson;010-741 69 70;010-741 69 71;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;026820;Veckovägen;;Coop Närhandel  ;Mikaela Norrman;Järfälla;Jenny Halldin;Elin Kronqvist;1108
Coop Östra;Coop;;16266;Vendelsömalm;Coop Vendelsömalm;5002;21;559557-0051;x;Tyrestavägen 4;136 68;Haninge;Vendelsomalm.bc@coop.se;Tf Robert Vargstrid;010-741 76 00;010-741 76 01;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016266;Vendelsömalm;;Coop Närhandel;Joakim Ytterström;Haninge;Mikaela Norrman;Jessica Carlsson;1084
Coop Östra;Coop;;185090;Vingåker;Coop Vingåker;5002;04;559368-1678;x;Storgatan  18-20;643 30;Vingåker;Vingaker.bc@coop.se;Sandra Melin;010-741 47 50;010-741 47 51;072-709 83 88;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;185090;Vingåker;;Coop  ;Anna Fredberg;Vingåker;;Jessica Carlsson;1457
Coop Östra;Coop;;186230;Vingåkersvägen Katrineholm;Coop Vingåkersvägen Katrineholm;0005;01;556030-5921;;Vingåkersvägen 69;641 51;Katrineholm;vingakersvagenkatrineholm.bc@coop.se;Marita Carlsson;010-746 45 10;010-746 45 11;072-468 51 33;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186230;Vingåkersvägen Katrineholm;216610;Coop;Anna Fredberg;Katrineholm;;Jessica Carlsson;4284
Coop Östra;Coop;;16021;Vintertullen;Coop Vintertullen ;5003;97;559133-8974;x;Barnängs Tvärgränd 1;116 43;Stockholm;Vintertullen.bc@coop.se;Frida Nilsson;010-741 80 80;010-741 80 81;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016021;Vintertullen;;Coop Närhandel  ;Joakim Ytterström;Stockholm;My Jonsson;Elin Kronqvist;1031
Coop Östra;Coop ;;15900;Vällingby Centrum;Coop Vällingby Centrum;0005;01;556030-5921;;Pajalagatan 38;162 65;Vällingby;cevallingby.bc@coop.se;TF Piotr Kubacki;010-741 86 00;010-741 86 01;072 218 41 05;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;015900;Vällingby Centrum;;Coop  ;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1020
Coop Östra;Coop;;56087;Värmlandsgatan;Coop Värmlandsgatan;5002;20;559496-5690;x;Värmlandsgatan 43;602 16;Norrköping;Varmlandsgatan.bc@coop.se;Johan Nyberg;010-741 49 90;010-741 49 91;070-374 36 38;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056087;Värmlandsgatan;;Coop Närhandel;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1158
Coop Östra;Coop ;;26809;Väsby Station;Coop Väsby Station;5003;50;556921-8893;x;Industrivägen 2;194 77;Upplands Väsby;vasbystation.bc@coop.se;Rickard Karlebrink; 010-741 68 13;010-741 68 13;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;026809;Väsby Station;;Coop Närhandel  ;Joakim Ytterström;Upplands Väsby;Jenny Halldin;Anna Rydmark;1105
Coop Östra;Coop Konsum;;15320;Västerhaninge;Coop Västerhaninge;0005;01;556030-5921;;Centrum;137 38;Västerhaninge;Vasterhaninge.bc@coop.se;Maja Perisic;010-741 78 10;010-741 78 11;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;015320;Västerhaninge;;Coop  ;Joakim Ytterström;Haninge;Mikaela Norrman;Jessica Carlsson;1012
Coop Östra;Coop;;36923;Västertorg;Coop Västertorg;0005;01;556030-5921;;Västertorg;752 43;Uppsala;Vastertorg.bc@coop.se;Sandra Donvil;010-741 25 80;010-741 25 81;;Kerim Nielsen;Misak Yazdi;Nord 5;Caroline Gudmundsson;VH Nord 5;036923;Västertorg,   ;;Coop Närhandel;Mikaela Norrman;Uppsala;Jenny Halldin;Anna Rydmark;1138
Coop Östra;Coop ;;16031;Västertorp;Coop Västertorp;5003;88;559368-1462;x;Störtloppsvägen 17;129 47;Hägersten;Vastertorp.bc@coop.se;Andreas Schramm Rönnlund;010-741 74 40;010-741 74 41;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016031;Västertorp;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1039
Coop Östra;Coop;;16151;Västra skogen;Coop Västra Skogen;5003;42;559198-3514;x;Johan Enbergs väg 16;171 61;Solna;VastraSkogen.bc@coop.se;Sara Jonasson;010-741 71 80;;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016151;Västra skogen;;Coop Närhandel;Mikaela Norrman;Solna Stad;Jenny Halldin;Elin Kronqvist;1066
Coop Östra;Coop;;16137;Zinken;Coop Zinken;0005;01;556030-5921;;Hornsgatan 102;118 21;Stockholm;Zinken.bc@coop.se;Alexander Munkhtulga;010-741 81 80;010-741 81 99;076-126 20 90;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016137;Zinken;;Coop Närhandel;Michael Sandelin;Stockholm;Mikaela Norrman;Anna Rydmark;1062
Coop Östra;Coop;;55240;Åby  ;Coop Åby;5002;41;559306-2788;x;Nyköpingsvägen 18-22;616 30;Åby;Aby.bc@coop.se;Aladin Mulalic;010-741 47 40;010-741 47 41;072-709 83 96;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;055240;Åby  ;;Coop  ;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1146
Coop Östra;Coop;;16071;Älta Gård;Coop Älta Gård;5003;37;556464-8763;x;Ältavägen 170;138 33;Älta;Alta.bc@coop.se;Göran Sandberg;010-741 74 20;010-741 74 21;;Kerim Nielsen;Misak Yazdi;Syd 4;Siri Karlsen;VH Syd 4;016071;Älta Gård;;Coop Närhandel;Joakim Ytterström;Nacka;Mikaela Norrman;Jessica Carlsson;1051
Coop Östra;Coop;;16125;Älvsjö  ;Coop Älvsjö;0005;01;556030-5921;;Älvsjö Torg 4  (Pendlarg. 4);125 31;Älvsjö;coopalvsjo.bc@coop.se;Jesper Nyholm;010-741 75 60;010-741 75 61;;Kerim Nielsen;Misak Yazdi;Syd 3;Therese Eklund;VH Syd 3;016125;Älvsjö  ;;Coop Närhandel;Joakim Ytterström;Stockholm;My Jonsson;Jessica Carlsson;1060
Coop Östra;Coop ;;186459;Ärla;Coop Ärla;5002;03;559236-3559;x;Stationsvägen 10;635 36;Ärla;Arla.bc@coop.se;Kent Cedenheim;010-741 45 60;010-741 45 61;072-709 84 68;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;186459;Ärla;;Coop Närhandel;Anna Fredberg;Eskilstuna;;Jessica Carlsson;1467
Coop Östra;Coop;;16056;Örnsberg  ;Coop Örnsberg;5003;07;556807-9312;x;Junkergatan 27;126 53;Hägersten;Ornsberg.bc@coop.se;Petra Barkman;010-741 51 60;010-741 51 61;076-858 81 20;Kerim Nielsen;Misak Yazdi;Nord 2;Tf Ismail Lalami;VH Nord 2 ;016056;Örnsberg  ;;Coop Närhandel;Mikaela Norrman;Stockholm;Mikaela Norrman;Anna Rydmark;1048
Coop Östra;Coop;;16255;Östgötagatan;Coop Östgötagatan;0005;01;556030-5921;;Östgötagatan 71;116 64;Stockholm;Ostgotagatan.bc@coop.se;Peter Rönnkvist;010-741 80 00;010-741 80 01;;Kerim Nielsen;Misak Yazdi;Nord 3;Michaela Andersson;VH Nord 3 ;016255;Östgötagatan;;Coop Närhandel;Michael Sandelin;Stockholm;My Jonsson;Elin Kronqvist;1081
Coop Östra;Coop;;182300;Östra Torget Torshälla;Coop Östra Torget Torshälla;5002;47;556766-8503;x;Brogatan 8, Box 102;644 22;Torshälla;Torshalla.bc@coop.se;Mikael Söderström;010-741 44 10;010-741 44 11;072-724 10 19;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;182300;Östra Torget Torshälla;;Coop;Anna Fredberg;Eskilstuna;;Jessica Carlsson;1452
Coop Östra;Online;;730113;E-handel Ingelsta;E-handel Ingelsta;0005;01;556030-5921;;Koppargatan 20;602 23;Norrköping;ingelsta.sc.kundflode@coop.se;"
Tf Filippa Lindahl";;;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;730113;E-handel Ingelsta;;;Marie Elg;Norrköping;;Elin Kronqvist;#SAKNAS!
Coop Östra;Restaurang;;253991;Sveaplan restaurang E-tuna ;Eskilstuna restaurang;0005;01;556030-5921;;Lundbladsvägen 6, Box 6044;630 66;Eskilstuna;sveaplan.restaurangchef@coop.se;Marina Horacek;010-741 46 78;010-741 46 75;070-643 29 23;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;253991;Eskilstuna;;;Anna Fredberg;Eskilstuna;;Jessica Carlsson;#SAKNAS!
Coop Östra;Coop;;185091;Flen;Coop Flen;0005;01;556030-5921;;Götgatan 1;624 37;Flen;Flen.bc@coop.se;Tf David Östman;010-746 29 00;010-746 29 01;;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;185091;Flen;;Coop;Anna Fredberg;Flen;;Jessica Carlsson;1785
Coop Östra;Coop;;185040;Katrineholm;Coop Katrineholm;0005;01;556030-5921;;Österleden 1;641 49;Katrineholm;osterleden.bc@coop.se;David Östman;010-746 29 20;010-746 29 21;076-313 23 54;Kerim Nielsen;Misak Yazdi;Syd 5;Per Wernqvist;VH Syd 5;185040;Katrineholm;;Coop;Anna Fredberg;Katrineholm;My Jonsson;Jessica Carlsson;1786
Coop Östra;Online;;730111;Online Boländerna;Online Boländerna;0005;01;556030-5921;;Rapsgatan 1;753 23;Uppsala;bolanderna.scehandel@coop.se;Rebecca Karlsson;;;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;730111;Online Boländerna;;;;Uppsala;Jenny Halldin;Josefine Wiberg Malmström;#SAKNAS!
Coop Östra;Online ;;730118;Online Häggvik;Online Häggvik;0005;01;556030-5921;;Norra Malmvägen 82;191 62;Sollentuna;cfhaggviksmc@coop.se ;Tf Moussa Fekari;;;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;730118;Online Häggvik;;;Michael Sandelin;Sollentuna;My Jonsson;Anna Rydmark;#SAKNAS!
Coop Östra;Online ;;730119;Online Vinsta;Online Vinsta;0005;01;556030-5921;;Siktgatan 11;162 50;Vällingby;vinsta.smc@coop.se;Dennis Bryngelsson;;;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;730119;Online Vinsta;;;;Stockholm;Mikaela Norrman;Elin Kronqvist;#SAKNAS!
Coop Östra;Online;;730112;Online Värmdö;Online Värmdö;0005;01;556030-5921;;Gustavsbergsvägen 34;134 45;Gustavsberg;cfvarmdosmc@coop.se;Fredrik Hedenberg;;;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;730112;Online Värmdö;;;;Värmdö;My Jonsson;Elin Kronqvist;#SAKNAS!
Coop Östra;Stora Coop;;15470;Arninge;Stora Coop Arninge;0005;01;556030-5921;;Saluvägen 10;187 66;Täby;arninge.bc@coop.se;Johan Beckman ;010-741 85 00;010-741 85 01;073-625 03 45;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;015470;Arninge;;;Michael Sandelin;Täby;Mikaela Norrman;Jessica Carlsson;1696
Coop Östra;Stora Coop;;15480;Barkarby ;Stora Coop Barkarby;0005;01;556030-5921;;Droskvägen 2;177 45;Järfälla;storacoopbarkarby.bc@coop.se;Bero Antunovic;;010-747 08 31;076-579 02 05;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;015480;Barkarby ;;;Mikaela Norrman;Järfälla;;Jessica Carlsson;1832
Coop Östra;Stora Coop;;252700;Bromma;Stora Coop Bromma;0005;01;556030-5921;;Box 11064,  Ulvsundavägen 189;161 11;Bromma;bromma.smc@coop.se;Mikael Svensson;010-741 69 00;010-741 69 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;252700;Bromma;;Stora Coop;Michael Sandelin;Stockholm;Mikaela Norrman;Jessica Carlsson;1664
Coop Östra;Stora Coop;;15700;Danderyd;Stora Coop Danderyd;0005;01;556030-5921;;Sunnanängsvägen 2 A;182 36;Danderyd;danderyd.bc@coop.se;Johan Karlsson;010-741 90 00;010-741 90 01;076 770 08 06;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;015700;Danderyd;;Stora Coop;Michael Sandelin;Danderyd;Mikaela Norrman;Jessica Carlsson;1018
Coop Östra;Stora Coop;;254900;Enköping;Stora Coop Enköping;0005;01;556030-5921;;Box 164, Ö Ringgatan 21;745 23;Enköping;cfenkopingsmc@coop.se;Magnus Engblom;010-741 26 00;010-741 26 01;073-655 72 95;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;254900;Enköping;;Stora Coop;Anna Fredberg;Enköping;Mikaela Norrman;Jessica Carlsson;1670
Coop Östra;Stora Coop;;253000;Eskilstuna  ;Stora Coop Eskilstuna;0005;01;556030-5921;;Albertina Nyströms väg 2;632 22;Eskilstuna;cfeskilstunasmc@coop.se;Rickard Karlsson;010-741 46 20;010-741 46 21;070-644 61 74;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;253000;Eskilstuna  ;;Stora Coop;Anna Fredberg;Eskilstuna;;Josefine Wiberg Malmström;1665
Coop Östra;Stora Coop;;56010;Garnisonen Linköping ;Stora Coop Garnisonen Linköping;0005;01;556030-5921;;Garnisonsvägen 50;587 58;Linköping;Linkoping.bc@coop.se;Michael Engback;010-741 89 50;010-741 89 51;072-537 91 00;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;056010;Garnisonen Linköping ;;Stora Coop;Marie Elg;Linköping;My Jonsson;Elin Kronqvist;1151
Coop Östra;Stora Coop;;250400;Haninge;Stora Coop Haninge;0005;01;556030-5921;;Nynäsvägen 21;136 47;Haninge;cfhandensmc@coop.se;Anders Westny;010-741 70 00;010-741 70 01;072-722 73 68;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;250400;Haninge;;Stora Coop;Marie Elg;Haninge;My Jonsson;Elin Kronqvist;1655
Coop Östra;Stora Coop;;15350;Huddinge;Stora Coop Huddinge;0005;01;556030-5921;;Forelltorget 6, Box 139;141 28;Huddinge;Huddinge.bc@coop.se;Helene Sandberg;010-741 76 40;010-741 76 41;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;015350;Huddinge;;Stora Coop;Marie Elg;Huddinge;My Jonsson;Elin Kronqvist;1014
Coop Östra;Stora Coop;;255700;Häggvik;Stora Coop Häggvik;0005;01;556030-5921;;Norra Malmvägen 82;191 62;Sollentuna;cfhaggviksmc@coop.se ;Tf Moussa Fekari;010-741 84 00;010-741 84 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;255700;Häggvik;;Stora Coop;Michael Sandelin;Sollentuna;My Jonsson;Anna Rydmark;1674
Coop Östra;Stora Coop;;55030;Ingelsta;Stora Coop Ingelsta;0005;01;556030-5921;;Koppargatan 20;602 23;Norrköping;ingelsta.bc@coop.se;Johanna Törnqvist;010-743 33 40;010-743 33 41;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;055030;Ingelsta;;Stora Coop;Marie Elg;Norrköping;;Elin Kronqvist;1831
Coop Östra;Stora Coop;;26810;Kungsängen;Stora Coop Kungsängen;0005;01;556030-5921;;Femstenavägen 20 ;196 36;Kungsängen;StoraCoopKungsangen.bc@coop.se;Olivia Spåre;010-741 66 60;010-741 66 51 ;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;026810;Kungsängen;;Stora Coop;Michael Sandelin;Upplands Bro;Mikaela Norrman;Jessica Carlsson;1106
Coop Östra;Stora Coop;;26000;Märsta ;Stora Coop Märsta;0005;01;556030-5921;;Västra Bangatan 2;195 40;Märsta;butikschef.marsta@coop.se;Miran Atta;010-741 87 30;010-741 87 31;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;026000;Märsta ;;Stora Coop;Michael Sandelin;Sigtuna;Mikaela Norrman;Anna Rydmark;1096
Coop Östra;Stora Coop;;36968;Norrteljeporten;Stora Coop Norrteljeporten;0005;01;556030-5921;;Astrid Lindgrens g 9;761 46 ;Norrtälje;norrtelje.bc@coop.se;Peter Almgren;010-741 99 00;010-741 99 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;036968;Norrteljeporten;;Stora Coop;Michael Sandelin;Norrtälje;Mikaela Norrman;Anna Rydmark;1142
Coop Östra;Stora Coop;;254700;Nyköping ;Stora Coop Nyköping;0005;01;556030-5921;;Gustavsbergsstigen 4;611 65;Nyköping;cfnykopingsmc@coop.se;Robin Engstrand;010-741 47 80;010-741 47 81;072–709 81 80;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;254700;Nyköping ;;Stora Coop;Marie Elg;Nyköping;;Elin Kronqvist;1668
Coop Östra;Stora Coop;;16141;Orminge;Stora Coop Orminge;0005;01;556030-5921;;Ormingeplan 3;132 30;Saltsjö Boo;Orminge.bc@coop.se;Mikael Pettersson ;010-741  94 76;010-743 60 16;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;016141;Orminge;;Stora Coop;Marie Elg;Värmdö;My Jonsson;Josefine Wiberg Malmström;1064
Coop Östra;Stora Coop;;56095;Risängen;Stora Coop Risängen;0005;01;556030-5921;;Fjärilsgatan 21;603 61;Norrköping;Risangen.bc@coop.se;Linus Hjelm;010-741 51 70;010-741 51 72;;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;056095;Risängen;;Stora Coop;Marie Elg;Norrköping;;Josefine Wiberg Malmström;1160
Coop Östra;Stora Coop;;26010;Rotebro;Stora Coop Rotebro;0005;01;556030-5921;;Konsumentvägen 1;192 68;Sollentuna;rotebro.bc@coop.se;Saman Tavakoli;010-741 68 50;010-741 68 51;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;026010;Rotebro;;Stora Coop;Michael Sandelin;Sollentuna;Mikaela Norrman;Anna Rydmark;1097
Coop Östra;Stora Coop;;16170;Spånga;Stora Coop Spånga;0005;01;556030-5921;;Bromstensvägen 166B;163 55;Spånga;spanga.bc@coop.se;Johan Svensson;010-747 12 50;010-747 12 51;072-406 72 51;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;016170;Spånga;;;Michael Sandelin;Stockholm;;Anna Rydmark;1828
Coop Östra;Stora Coop;;257400;Strängnäs;Stora Coop Strängnäs;0005;01;556030-5921;;Solberga Handelsväg 17;641 47;Strängnäs;cfstrangnassmc@coop.se;Petri Salmela;010-741 91 00;010-741 91 01;070-218 32 38;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;257400;Strängnäs;;Stora Coop;Anna Fredberg;Strängnäs;My Jonsson;Josefine Wiberg Malmström;1680
Coop Östra;Stora Coop;;15220;Stuvsta;Stora Coop Stuvsta;0005;01;556030-5921;;Ågestavägen 1;141 37;Huddinge;Stuvsta.bc@coop.se;Bojan Mezner ;010-741 95 60;010-741 95 61;072-527 69 00;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;015220;Stuvsta;;Stora Coop;Marie Elg;Huddinge;My Jonsson;Josefine Wiberg Malmström;1008
Coop Östra;Stora Coop;;15810;Sundby Park;Stora Coop Sundby park;0005;01;556030-5921;;Gesällvägen 37 (Ö Madenvägen 8);174 52 ;Sundbyberg;sundbypark.bc@coop.se;Tf Kelhy Matteo Bueno;010-741 16 50;010-741 16 51; ;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;015810;Sundby Park;;Stora Coop;Michael Sandelin;Sundbyberg;Mikaela Norrman;Anna Rydmark;1019
Coop Östra;Stora Coop;;250800;Södertälje;Stora Coop Södertällje;0005;01;556030-5921;;Genetaleden 7;151 59;Södertälje;cfsodertaljesmc@coop.se;Dennis Jonsson;010-741 73 50;010-741 73 51;070-643 29 45;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;250800;Södertälje;;Stora Coop;Marie Elg;Södertälje;My Jonsson;Josefine Wiberg Malmström;1656
Coop Östra;Stora Coop;;15430;Tumba;Stora Coop Tumba;0005;01;556030-5921;;Bryggarevägen 9;147 30;Tumba;tumba.bc@coop.se;Kim Andersson;;010-745 04 21;070-257 46 69;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;015430;Tumba;;Stora Coop;Marie Elg;Botkyrka;My Jonsson;Josefine Wiberg Malmström;1017
Coop Östra;Stora Coop;;251300;Uppsala, Boländerna;Stora Coop Uppsala Boländerna;0005;01;556030-5921;;Rapsgatan 1;753 23;Uppsala;bolanderna.bc@coop.se;Simon Sundblad;010-741 28 20;010-741 28 21;070-792 50 22;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;251300;Uppsala, Boländerna;;Stora Coop;Michael Sandelin;Uppsala;Jenny Halldin;Josefine Wiberg Malmström;1658
Coop Östra;Stora Coop ;;30500;Vinsta;Stora Coop Vinsta;0005;01;556030-5921;;Siktgatan 11;162 50;Vällingby;vinsta.smc@coop.se;Dennis Bryngelsson;010-741 94 00;010-741 94 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;030500;Vinsta;;Stora Coop;Michael Sandelin;Stockholm;Mikaela Norrman;Elin Kronqvist;1120
Coop Östra;Stora Coop ;;255400;Värmdö;Stora Coop Värmdö;0005;01;556030-5921;;Gustavsbergsvägen 34;134 45;Gustavsberg;cfvarmdosmc@coop.se;Fredrik Hedenberg;010-741 72 00;010-741 94 51;073-662 70 06;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;255400;Värmdö;;Stora Coop;Michael Sandelin;Värmdö;My Jonsson;Elin Kronqvist;1672
Coop Östra;Stora Coop;;256600;Västberga;Stora Coop Västberga;0005;01;556030-5921;;Västbergavägen 4;126 30;Hägersten;cfvastbergasmc@coop.se;Pontus Estenthal;010-741 95 20;010-741 95 21;070-620 24 40;Kerim Nielsen;Linda-Li Cederroth;Syd;;SH Syd;256600;Västberga;;Stora Coop;Marie Elg;Stockholm;My Jonsson;Elin Kronqvist;1678
Coop Östra;Stora Coop;;15400;Åkersberga;Stora Coop åkersberga;0005;01;556030-5921;;Pilstugegränd 1-5;184 92;Åkersberga;akersberga.bc@coop.se;Susanne Rikner;010-741 83 00;010-741 83 01;;Kerim Nielsen;Niclas Ahlund;Norr  ;;SH Norr;015400;Åkersberga;;Stora Coop;Michael Sandelin;Österåker;Mikaela Norrman;Anna Rydmark;1015
Coop Östra;X:tra;;16788;Akalla;X:-tra Akalla;0005;01;556030-5921;;Sibeliusgången 19D;164 72;Kista;xtra.akalla.bc@coop.se ;Tf Mariela Rivera;010-746 29 69?;010-746 29 61;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016788;Akalla;;;Mikaela Norrman;Stockholm;Jenny Halldin;Elin Kronqvist;1829
Coop Östra;X:tra;;56217;Ljura;X:-tra Ljura;0005;01;556030-5921;;Albrektsvägen 79-81;603 50;Norrköping;xtraljura.bc@coop.se;Arvid Kvarnström;010-746 43 10;010-746 43 11;076-798 23 66;Kerim Nielsen;Misak Yazdi;Syd 1;Simon Thell;VH Syd 1;056217;Ljura;216590;Coop  Prisvärt;Marie Elg;Norrköping;;Josefine Wiberg Malmström;4220
Coop Östra;X:tra;;56219;Motala;X:-tra Motala;0005;01;556030-5921;;Östermalmsgatan 98;591 60;Motala;xtramotala.bc@coop.se;Malin Johansson;010-746 43 50;;076-798 23 54;Kerim Nielsen;Misak Yazdi;Syd 2;Alexander Schoug;VH Syd 2;056219;Östermalmsgatan Motala;216594;Coop;Anna Fredberg;Motala;;Josefine Wiberg Malmström;4183
Coop Östra;Coop;;16195;Träkvista;Coop Träkvista;0005;01;556030-5921;;Träkvista Torg 7;17837;Ekerö;;Ralph Flander;;;;Kerim Nielsen;Misak Yazdi;Nord 4;Tf Kenneth Kyobe;VH Nord 4;016195;Träkvista;;Coop;Mikaela Norrman;Ekerö;Jenny Halldin;Elin Kronqvist;1767
